,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,115271420.0,147870845.392388,60730560.0,977381640.0,
Tax Rate For Calcs,0.2266,0.255832,0.2673,0.2367,
Normalized EBITDA,36844900000.0,33183100000.0,33533500000.0,30114700000.0,
Total Unusual Items,508700000.0,578000000.0,227200000.0,4129200000.0,
Total Unusual Items Excluding Goodwill,508700000.0,578000000.0,227200000.0,4129200000.0,
Net Income From Continuing Operation Net Minority Interest,25334900000.0,21787300000.0,21398100000.0,23217700000.0,
Reconciled Depreciation,3368300000.0,3133400000.0,3004600000.0,2259100000.0,
Reconciled Cost Of Revenue,111985500000.0,106736500000.0,95481200000.0,96416300000.0,
EBITDA,37353600000.0,33761100000.0,33760700000.0,34243900000.0,
EBIT,33985300000.0,30627700000.0,30756100000.0,31984800000.0,
Net Interest Income,502500000.0,-60000000.0,147500000.0,-59500000.0,
Interest Expense,1097500000.0,1362000000.0,1621400000.0,1657100000.0,
Interest Income,1630100000.0,1328000000.0,1787500000.0,1631500000.0,
Normalized Income,24941471420.0,21357170845.392387,21231630560.0,20065881640.0,
Net Income From Continuing And Discontinued Operation,25334900000.0,21787300000.0,21398100000.0,23217700000.0,
Total Expenses,156501700000.0,146612100000.0,136768300000.0,133743100000.0,
Rent Expense Supplemental,850500000.0,960800000.0,887500000.0,871100000.0,
Diluted Average Shares,240871839.0,240868296.0,240868296.0,240868296.0,
Basic Average Shares,240871839.0,240868296.0,240868296.0,240868296.0,
Diluted EPS,105.18,90.45,88.84,96.39,
Basic EPS,105.18,90.45,88.84,96.39,
Diluted NI Availto Com Stockholders,25334900000.0,21787300000.0,21398100000.0,23217700000.0,
Net Income Common Stockholders,25334900000.0,21787300000.0,21398100000.0,23217700000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,25334900000.0,21787300000.0,21398100000.0,23217700000.0,
Minority Interests,-35200000.0,8700000.0,55900000.0,54500000.0,
Net Income Including Noncontrolling Interests,25370100000.0,21778600000.0,21342200000.0,23163200000.0,
Net Income Continuous Operations,25370100000.0,21778600000.0,21342200000.0,23163200000.0,
Tax Provision,7517700000.0,7487100000.0,7792500000.0,7164500000.0,
Pretax Income,32887800000.0,29265700000.0,29134700000.0,30327700000.0,
Other Non Operating Income Expenses,101500000.0,91900000.0,79300000.0,61900000.0,
Special Income Charges,10400000.0,-235500000.0,-24500000.0,3708400000.0,
Other Special Charges,-10400000.0,-12400000.0,24500000.0,-3764300000.0,
Write Off,,,0.0,55900000.0,0.0
Restructuring And Mergern Acquisition,0.0,247900000.0,,,9800000.0
Net Non Operating Interest Income Expense,502500000.0,-60000000.0,147500000.0,-59500000.0,
Total Other Finance Cost,30100000.0,26000000.0,18600000.0,33900000.0,
Interest Expense Non Operating,1097500000.0,1362000000.0,1621400000.0,1657100000.0,
Interest Income Non Operating,1630100000.0,1328000000.0,1787500000.0,1631500000.0,
Operating Income,32080400000.0,28738100000.0,28693800000.0,26105900000.0,
Operating Expense,44516200000.0,39875600000.0,41287100000.0,37326800000.0,
Other Operating Expenses,20184600000.0,20255100000.0,18254800000.0,16978700000.0,
Depreciation And Amortization In Income Statement,3368300000.0,3133400000.0,3004600000.0,2259100000.0,
Amortization,28100000.0,34300000.0,38600000.0,,
Depreciation Income Statement,3340200000.0,3099100000.0,2966000000.0,2259100000.0,
Selling General And Administration,14808600000.0,12556900000.0,14283800000.0,13790600000.0,
Selling And Marketing Expense,14594000000.0,12369900000.0,14054700000.0,13654600000.0,
General And Administrative Expense,214600000.0,187000000.0,229100000.0,136000000.0,
Rent And Landing Fees,850500000.0,960800000.0,887500000.0,871100000.0,
Gross Profit,76596600000.0,68613700000.0,69980900000.0,63432700000.0,
Cost Of Revenue,111985500000.0,106736500000.0,95481200000.0,96416300000.0,
Total Revenue,188582100000.0,175350200000.0,165462100000.0,159849000000.0,
Operating Revenue,188582100000.0,175350200000.0,165462100000.0,159849000000.0,
