,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-489373727.877814,-142513918.611919,-7324140000.0,-169648311.319295,
Tax Rate For Calcs,0.28133,0.306745,0.3,0.201746,
Normalized EBITDA,33532000000.0,32634700000.0,17380900000.0,25541300000.0,
Total Unusual Items,-1827700000.0,-464600000.0,-10506300000.0,-780600000.0,
Total Unusual Items Excluding Goodwill,-1739500000.0,-464600000.0,-24413800000.0,-840900000.0,
Net Income From Continuing Operation Net Minority Interest,18614700000.0,18523000000.0,-5605500000.0,17024600000.0,
Reconciled Depreciation,2675200000.0,2340000000.0,2409600000.0,2362900000.0,
Reconciled Cost Of Revenue,78633300000.0,68716500000.0,66331800000.0,70439400000.0,
EBITDA,31704300000.0,32170100000.0,6874600000.0,24760700000.0,
EBIT,29029000000.0,29830100000.0,4465000000.0,22397800000.0,
Net Interest Income,-1595300000.0,-830400000.0,-975600000.0,-126400000.0,
Interest Expense,3127400000.0,3111200000.0,2482700000.0,1070500000.0,
Interest Income,1841400000.0,2506300000.0,1869300000.0,1219500000.0,
Normalized Income,19776626272.122185,18845086081.38808,25391660000.0,17756151688.680706,
Net Income From Continuing And Discontinued Operation,18614700000.0,18523000000.0,-5605500000.0,17024600000.0,
Total Expenses,121904900000.0,111312900000.0,111259200000.0,108776700000.0,
Rent Expense Supplemental,568100000.0,565400000.0,634300000.0,605500000.0,
Diluted Average Shares,1023452228.0,1023362784.0,1023178732.0,1022865713.0,
Basic Average Shares,1023122736.0,1022919401.0,1022765649.0,1022636084.0,
Diluted EPS,18.19,18.11,-5.48,16.65,
Basic EPS,18.19,18.11,-5.48,16.65,
Diluted NI Availto Com Stockholders,18614700000.0,18523000000.0,-5605500000.0,17024600000.0,
Net Income Common Stockholders,18614700000.0,18523000000.0,-5605500000.0,17024600000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,18614700000.0,18523000000.0,-5605500000.0,17024600000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,18614700000.0,18523000000.0,-5605500000.0,17024600000.0,
Net Income Continuous Operations,18614700000.0,18523000000.0,-5605500000.0,17024600000.0,
Tax Provision,7286900000.0,8195900000.0,7587800000.0,4302700000.0,
Pretax Income,25901600000.0,26718900000.0,1982300000.0,21327300000.0,
Other Non Operating Income Expenses,163000000.0,156200000.0,160200000.0,171500000.0,
Special Income Charges,-2316900000.0,-735900000.0,-25005500000.0,-1121600000.0,
Other Special Charges,1388600000.0,56500000.0,9460200000.0,714200000.0,
Write Off,63400000.0,47600000.0,47900000.0,54000000.0,
Impairment Of Capital Assets,,,13908000000.0,60000000.0,621600000.0
Restructuring And Mergern Acquisition,953100000.0,631800000.0,1589900000.0,293100000.0,
Net Non Operating Interest Income Expense,-1595300000.0,-830400000.0,-975600000.0,-126400000.0,
Total Other Finance Cost,309300000.0,225500000.0,362200000.0,275400000.0,
Interest Expense Non Operating,3127400000.0,3111200000.0,2482700000.0,1070500000.0,
Interest Income Non Operating,1841400000.0,2506300000.0,1869300000.0,1219500000.0,
Operating Income,29096000000.0,27857700000.0,28481400000.0,23210100000.0,
Operating Expense,43271600000.0,42596400000.0,44927400000.0,38337300000.0,
Other Operating Expenses,6852900000.0,6300900000.0,6201900000.0,5920500000.0,
Depreciation And Amortization In Income Statement,2675300000.0,2340000000.0,2409600000.0,2362900000.0,
Amortization,154800000.0,117900000.0,269600000.0,299300000.0,
Depreciation Income Statement,2520500000.0,2222100000.0,2140000000.0,2063600000.0,
Selling General And Administration,21632000000.0,22697100000.0,24408700000.0,19506500000.0,
Selling And Marketing Expense,20149700000.0,21205500000.0,23036500000.0,18183700000.0,
General And Administrative Expense,1482300000.0,1491600000.0,1372200000.0,1322800000.0,
Rent And Landing Fees,568100000.0,565400000.0,634300000.0,605500000.0,
Gross Profit,72367600000.0,70454100000.0,73408800000.0,61547400000.0,
Cost Of Revenue,78633300000.0,68716500000.0,66331800000.0,70439400000.0,
Total Revenue,151000900000.0,139170600000.0,139740600000.0,131986800000.0,
Operating Revenue,151000900000.0,139170600000.0,139740600000.0,131986800000.0,
