,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,303960000.0,207788279.773157,197625193.598348,188760000.0,
Tax Rate For Calcs,0.204,0.216446,0.224574,0.242,
Normalized EBITDA,23680000000.0,22330000000.0,20550000000.0,18520000000.0,
Total Unusual Items,1490000000.0,960000000.0,880000000.0,780000000.0,
Total Unusual Items Excluding Goodwill,1490000000.0,960000000.0,880000000.0,780000000.0,
Net Income From Continuing Operation Net Minority Interest,17620000000.0,16290000000.0,14810000000.0,13020000000.0,
Reconciled Depreciation,2020000000.0,1780000000.0,1580000000.0,1550000000.0,
Reconciled Cost Of Revenue,79440000000.0,56880000000.0,50100000000.0,56090000000.0,
EBITDA,25170000000.0,23290000000.0,21430000000.0,19300000000.0,
EBIT,23150000000.0,21510000000.0,19850000000.0,17750000000.0,
Net Interest Income,-390000000.0,240000000.0,40000000.0,-70000000.0,
Interest Expense,380000000.0,350000000.0,480000000.0,320000000.0,
Interest Income,140000000.0,770000000.0,770000000.0,490000000.0,
Normalized Income,16433960000.0,15537788279.773157,14127625193.598349,12428760000.0,
Net Income From Continuing And Discontinued Operation,17620000000.0,16290000000.0,14810000000.0,13020000000.0,
Total Expenses,114220000000.0,87700000000.0,77050000000.0,80330000000.0,
Rent Expense Supplemental,410000000.0,430000000.0,330000000.0,200000000.0,
Diluted Average Shares,1296444780.0,1296592634.0,1295421514.0,1295486743.0,
Basic Average Shares,1293630191.0,1293475405.0,1292222478.0,1291544144.0,
Diluted EPS,13.59,12.56,11.43,10.05,
Basic EPS,13.62,12.59,11.46,10.08,
Diluted NI Availto Com Stockholders,17620000000.0,16290000000.0,14810000000.0,13020000000.0,
Net Income Common Stockholders,17620000000.0,16290000000.0,14810000000.0,13020000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,17620000000.0,16290000000.0,14810000000.0,13020000000.0,
Minority Interests,-510000000.0,-290000000.0,-210000000.0,-200000000.0,
Net Income Including Noncontrolling Interests,18130000000.0,16580000000.0,15020000000.0,13220000000.0,
Net Income Continuous Operations,18130000000.0,16580000000.0,15020000000.0,13220000000.0,
Tax Provision,4640000000.0,4580000000.0,4350000000.0,4210000000.0,
Pretax Income,22770000000.0,21160000000.0,19370000000.0,17430000000.0,
Other Non Operating Income Expenses,150000000.0,290000000.0,100000000.0,130000000.0,
Special Income Charges,20000000.0,200000000.0,150000000.0,280000000.0,
Other Special Charges,-20000000.0,-200000000.0,-150000000.0,-280000000.0,
Write Off,,,,,0.0
Impairment Of Capital Assets,,,,,0.0
Net Non Operating Interest Income Expense,-390000000.0,240000000.0,40000000.0,-70000000.0,
Total Other Finance Cost,150000000.0,180000000.0,250000000.0,240000000.0,
Interest Expense Non Operating,380000000.0,350000000.0,480000000.0,320000000.0,
Interest Income Non Operating,140000000.0,770000000.0,770000000.0,490000000.0,
Operating Income,21260000000.0,19630000000.0,18680000000.0,16560000000.0,
Operating Expense,34780000000.0,30820000000.0,26950000000.0,24240000000.0,
Other Operating Expenses,4850000000.0,4630000000.0,3970000000.0,3410000000.0,
Depreciation And Amortization In Income Statement,2020000000.0,1780000000.0,1580000000.0,1550000000.0,
Amortization,150000000.0,110000000.0,100000000.0,80000000.0,
Depreciation Income Statement,1870000000.0,1670000000.0,1480000000.0,1470000000.0,
Selling General And Administration,18970000000.0,16650000000.0,14440000000.0,13300000000.0,
Selling And Marketing Expense,17890000000.0,15770000000.0,13680000000.0,12290000000.0,
General And Administrative Expense,1080000000.0,880000000.0,760000000.0,1010000000.0,
Rent And Landing Fees,410000000.0,430000000.0,330000000.0,200000000.0,
Gross Profit,56040000000.0,50450000000.0,45630000000.0,40800000000.0,
Cost Of Revenue,79440000000.0,56880000000.0,50100000000.0,56090000000.0,
Total Revenue,135480000000.0,107330000000.0,95730000000.0,96890000000.0,
Operating Revenue,135480000000.0,107330000000.0,95730000000.0,96890000000.0,
