Company,Year,Net Income (Cr),Total Equity (Cr),ROE (%),Current Ratio,Debt to Equity
Britannia,2023-03-31,2321.77,3534.27,65.69,1.15,0.85
Britannia,2024-03-31,2139.81,3941.52,54.29,1.19,0.53
Britannia,2025-03-31,2178.73,4355.72,50.02,1.08,0.29
Britannia,2026-03-31,2533.49,5106.56,49.61,1.12,0.27
Dabur,2023-03-31,1707.15,8973.26,19.02,1.18,0.13
Dabur,2024-03-31,1842.68,9866.3,18.68,1.45,0.14
Dabur,2025-03-31,1767.63,10800.69,16.37,1.51,0.09
Dabur,2026-03-31,1895.03,11419.52,16.59,1.7,0.11
Godrej Consumer,2023-03-31,1702.46,13794.23,12.34,1.76,0.08
Godrej Consumer,2024-03-31,-560.55,12598.57,-4.45,0.99,0.26
Godrej Consumer,2025-03-31,1852.3,12003.92,15.43,1.06,0.33
Godrej Consumer,2026-03-31,1861.47,12652.95,14.71,0.91,0.35
Hindustan Unilever,2023-03-31,10120.0,50304.0,20.12,1.41,0.02
Hindustan Unilever,2024-03-31,10277.0,51218.0,20.07,1.66,0.03
Hindustan Unilever,2025-03-31,10649.0,49402.0,21.56,1.33,0.03
Hindustan Unilever,2026-03-31,15040.0,48738.0,30.86,1.22,0.03
ITC,2023-03-31,19191.66,69155.26,27.75,2.89,0.0
ITC,2024-03-31,20458.78,74507.0,27.46,3.0,0.0
ITC,2025-03-31,34746.63,70030.05,49.62,3.06,0.0
ITC,2026-03-31,20689.47,72507.3,28.53,3.04,0.03
Marico,2023-03-31,1302.0,3799.0,34.27,1.57,0.16
Marico,2024-03-31,1481.0,3832.0,38.65,1.64,0.14
Marico,2025-03-31,1629.0,3975.0,40.98,2.07,0.14
Marico,2026-03-31,1762.0,4210.0,41.85,1.43,0.13
Nestle India,2021-12-31,2118.41,1946.38,108.84,1.0,0.14
Nestle India,2022-12-31,2390.52,2459.17,97.21,1.13,0.11
Nestle India,2025-03-31,3207.59,4010.21,79.99,0.8,0.29
